,date,mean
284,2017-01-27,423.5625
285,2017-01-26,425.9675
286,2017-01-25,425.44
287,2017-01-24,430.5625
288,2017-01-23,430.6875
289,2017-01-20,425.1875
290,2017-01-19,427.125
291,2017-01-18,431.8125
292,2017-01-17,430.03
293,2017-01-13,424.8125
294,2017-01-12,422.25250000000005
295,2017-01-11,420.5625
296,2017-01-10,426.0625
297,2017-01-09,425.155
298,2017-01-06,424.6875
299,2017-01-05,422.0625
300,2017-01-04,411.875
301,2017-01-03,408.78499999999997
302,2016-12-30,406.875
303,2016-12-29,404.5
304,2016-12-28,405.5
305,2016-12-27,402.875
306,2016-12-23,395.72
307,2016-12-22,398.25
308,2016-12-21,401.5
309,2016-12-20,404.3125
310,2016-12-19,408.5625
311,2016-12-16,408.125
312,2016-12-15,413.375
313,2016-12-14,416.5625
314,2016-12-13,417.4675
315,2016-12-12,414.375
316,2016-12-09,411.4075
317,2016-12-08,405.345
318,2016-12-07,403.8125
319,2016-12-06,408.9375
320,2016-12-05,407.125
321,2016-12-02,400.125
322,2016-12-01,399.3125
323,2016-11-30,407.375
324,2016-11-29,411.75
325,2016-11-28,418.5625
326,2016-11-25,399.655
327,2016-11-23,403.0925
328,2016-11-22,408.6875
329,2016-11-21,409.125
330,2016-11-18,405.5625
331,2016-11-17,401.125
332,2016-11-16,398.75
333,2016-11-15,397.1875
334,2016-11-14,398.5
335,2016-11-11,404.125
336,2016-11-10,407.5625
337,2016-11-09,411.375
338,2016-11-08,413.2825
339,2016-11-07,411.28
340,2016-11-04,412.9375
341,2016-11-03,414.6875
342,2016-11-02,416.345
343,2016-11-01,414.8125
344,2016-10-31,413.0
345,2016-10-28,412.2175
346,2016-10-27,414.375
347,2016-10-26,408.0925
348,2016-10-25,403.47
349,2016-10-24,408.6575
350,2016-10-21,415.75
351,2016-10-20,418.8425
352,2016-10-19,419.155
353,2016-10-18,422.125
354,2016-10-17,421.1875
355,2016-10-14,419.9375
356,2016-10-13,407.1875
357,2016-10-12,403.1575
358,2016-10-11,405.375
359,2016-10-10,401.0325
360,2016-10-07,396.9375
361,2016-10-06,401.5
362,2016-10-05,400.3125
363,2016-10-04,395.6875
364,2016-10-03,397.6875
365,2016-09-30,398.6575
366,2016-09-29,401.5625
367,2016-09-28,404.345
368,2016-09-27,400.375
369,2016-09-26,400.5625
370,2016-09-23,405.095
371,2016-09-22,407.0
372,2016-09-21,406.1875
373,2016-09-20,405.125
374,2016-09-19,404.4375
375,2016-09-16,400.345
376,2016-09-15,401.625
377,2016-09-14,400.625
378,2016-09-13,404.5325
379,2016-09-12,405.3125
380,2016-09-09,402.905
381,2016-09-08,403.5625
382,2016-09-07,400.78
383,2016-09-06,398.5
384,2016-09-02,397.375
385,2016-09-01,393.28
386,2016-08-31,390.7825
387,2016-08-30,395.5
388,2016-08-29,401.9375
389,2016-08-26,392.1875
390,2016-08-25,403.87750000000005
391,2016-08-24,406.1575
392,2016-08-23,411.0625
393,2016-08-22,421.5925
394,2016-08-19,427.28
395,2016-08-18,424.9375
396,2016-08-17,424.44
397,2016-08-16,421.78499999999997
398,2016-08-15,422.9675
399,2016-08-12,416.995
400,2016-08-11,418.5325
401,2016-08-10,420.0
402,2016-08-09,415.8125
403,2016-08-08,417.9375
404,2016-08-05,410.47
405,2016-08-04,408.81
406,2016-08-03,407.25
407,2016-08-02,404.095
408,2016-08-01,409.1875
409,2016-07-29,408.7175
410,2016-07-28,413.25
411,2016-07-27,416.4675
412,2016-07-26,420.94000000000005
413,2016-07-25,428.5625
414,2016-07-22,419.6575
415,2016-07-21,415.125
416,2016-07-20,415.375
417,2016-07-19,422.6875
418,2016-07-18,427.5925
419,2016-07-15,431.375
420,2016-07-14,438.8775
421,2016-07-13,442.22
422,2016-07-12,432.9375
423,2016-07-11,434.095
424,2016-07-08,431.5625
425,2016-07-07,429.8125
426,2016-07-06,429.1875
427,2016-07-05,427.8125
428,2016-07-01,437.4375
429,2016-06-30,446.3125
430,2016-06-29,451.6575
431,2016-06-28,460.095
432,2016-06-27,463.0
433,2016-06-24,451.25
434,2016-06-23,457.125
435,2016-06-22,460.6875
436,2016-06-21,466.4675
437,2016-06-20,476.0625
438,2016-06-17,477.375
439,2016-06-16,475.1575
440,2016-06-15,482.4075
441,2016-06-14,487.72
442,2016-06-13,496.25
443,2016-06-10,502.78
444,2016-06-09,513.22
445,2016-06-08,514.72
446,2016-06-07,507.625
447,2016-06-06,504.5
448,2016-06-03,490.5625
449,2016-06-02,479.875
450,2016-06-01,468.7525
451,2016-05-31,473.0
452,2016-05-27,481.6575
453,2016-05-26,473.375
454,2016-05-25,465.595
455,2016-05-24,463.875
456,2016-05-23,465.0625
457,2016-05-20,468.9375
458,2016-05-19,472.5625
459,2016-05-18,481.0325
460,2016-05-17,478.1875
461,2016-05-16,473.5
462,2016-05-13,471.375
463,2016-05-12,462.81
464,2016-05-11,460.5625
465,2016-05-10,460.9075
466,2016-05-09,460.5625
467,2016-05-06,464.905
468,2016-05-05,466.72
469,2016-05-04,472.3425
470,2016-05-03,480.1575
471,2016-05-02,486.3425
472,2016-04-29,486.125
473,2016-04-28,487.0
474,2016-04-27,484.8125
475,2016-04-26,482.28
476,2016-04-25,476.22
